Country,Date,TEKs,Cases
be,2020-09-01,258,194
be,2020-09-02,252,251
be,2020-09-03,254,424
be,2020-09-04,244,633
be,2020-09-05,234,630
be,2020-09-06,194,651
be,2020-09-07,171,542
be,2020-09-08,185,402
be,2020-09-09,166,372
be,2020-09-10,149,550
be,2020-09-11,113,877
be,2020-09-12,80,969
be,2020-09-13,39,941
be,2020-10-14,22,7360
be,2020-10-15,49,8271
be,2020-10-16,94,10448
be,2020-10-17,209,10192
be,2020-10-18,390,10964
be,2020-10-19,622,9138
be,2020-10-20,858,8227
be,2020-10-21,1119,9679
be,2020-10-22,1439,13227
be,2020-10-23,1191,16746
be,2020-10-24,1500,17568
be,2020-10-25,1354,17709
be,2020-10-26,1337,15622
be,2020-10-27,1039,12687
be,2020-10-28,1265,13571
be,2020-10-29,1036,21048
be,2020-10-30,774,23921
be,2020-10-31,505,20056
be,2020-11-01,581,16915
be,2020-11-02,528,11789
be,2020-11-03,306,6337
pt,2020-09-18,51,770
pt,2020-09-19,54,780
pt,2020-09-20,50,849
pt,2020-09-21,56,552
pt,2020-09-22,60,623
pt,2020-09-23,57,463
pt,2020-09-24,57,802
pt,2020-09-25,58,691
pt,2020-09-26,56,899
pt,2020-09-27,51,884
pt,2020-09-28,50,665
pt,2020-09-29,56,425
pt,2020-09-30,58,688
pt,2020-10-01,51,825
pt,2020-10-02,52,854
pt,2020-10-03,61,888
pt,2020-10-04,74,963
pt,2020-10-05,86,904
pt,2020-10-06,105,734
pt,2020-10-07,109,427
pt,2020-10-08,113,944
pt,2020-10-09,137,1278
pt,2020-10-10,158,1394
pt,2020-10-11,187,1646
pt,2020-10-12,212,1090
pt,2020-10-13,241,1249
pt,2020-10-14,275,1208
pt,2020-10-15,302,2072
pt,2020-10-16,319,2101
pt,2020-10-17,324,2608
pt,2020-10-18,369,2153
pt,2020-10-19,392,1856
pt,2020-10-20,386,1949
pt,2020-10-21,396,1876
pt,2020-10-22,393,2535
pt,2020-10-23,413,3270
pt,2020-10-24,426,2899
pt,2020-10-25,437,3669
pt,2020-10-26,422,2577
pt,2020-10-27,400,2447
pt,2020-10-28,378,3299
pt,2020-10-29,351,3960
pt,2020-10-30,313,4224
pt,2020-10-31,278,4656
pt,2020-11-01,243,4007
pt,2020-11-02,176,3062
pt,2020-11-03,127,2506
pt,2020-11-04,42,2596
es,2020-09-01,46,23572
es,2020-09-02,52,8115
es,2020-09-03,51,8581
es,2020-09-04,52,8959
es,2020-09-05,56,10476
es,2020-09-06,54,0
es,2020-09-07,58,0
es,2020-09-08,61,26560
es,2020-09-09,60,8964
es,2020-09-10,68,8866
es,2020-09-11,75,10764
es,2020-09-12,67,12183
es,2020-09-13,75,0
es,2020-09-14,73,0
es,2020-09-15,82,27404
es,2020-09-16,119,9437
es,2020-09-17,139,11193
es,2020-09-18,165,11291
es,2020-09-19,203,14389
es,2020-09-20,218,0
es,2020-09-21,268,0
es,2020-09-22,282,31428
es,2020-09-23,296,10799
es,2020-09-24,286,11289
es,2020-09-25,284,10653
es,2020-09-26,339,12272
es,2020-09-27,315,0
es,2020-09-28,269,0
es,2020-09-29,265,31785
es,2020-09-30,294,0
es,2020-10-01,317,20922
es,2020-10-02,312,9419
es,2020-10-03,312,11325
es,2020-10-04,353,0
es,2020-10-05,350,0
es,2020-10-06,384,23480
es,2020-10-07,375,11998
es,2020-10-08,418,10491
es,2020-10-09,426,12423
es,2020-10-10,439,12788
es,2020-10-11,479,0
es,2020-10-12,532,0
es,2020-10-13,590,27856
es,2020-10-14,676,7118
es,2020-10-15,745,11970
es,2020-10-16,7673,13318
es,2020-10-17,9545,15186
es,2020-10-18,10868,0
es,2020-10-19,12019,0
es,2020-10-20,13570,37889
es,2020-10-21,15538,13873
es,2020-10-22,18060,16973
es,2020-10-23,18759,20986
es,2020-10-24,17963,19851
es,2020-10-25,17601,0
es,2020-10-26,17090,0
es,2020-10-27,15891,52188
es,2020-10-28,14328,18418
es,2020-10-29,12288,19765
es,2020-10-30,10194,23580
es,2020-10-31,8323,25595
